Bandwidth (Mbps),jitter (ms),Lost,Total,Loss Rate (%),Latency_avg(ms)
24.3,0.179,189,2257,8.37,43.182
24.3,0.173,34,2098,1.62,105.204
24.3,0.163,17,2086,0.81,167.395
24.3,0.175,18,2084,0.86,231.533
24.3,0.179,18,2088,0.86,296.662
24.0,0.162,143,2188,6.54,343.546
24.0,0.183,187,2229,8.39,345.659
22.9,0.175,282,2231,12.64,345.893
15.0,0.175,954,2228,42.82,346.269
14.6,0.189,990,2229,44.41,346.138
15.1,0.185,946,2231,42.40,346.179
15.4,0.168,920,2226,41.33,346.042
15.4,0.168,923,2230,41.39,346.422
15.7,0.151,894,2229,40.11,346.276
14.9,0.192,959,2229,43.02,346.061
15.1,0.2,948,2230,42.51,346.3
31.3,0.04,332,2991,11.10,63.629
26.1,0.06,6,2229,0.27,3.848
26.0,0.039,16,2230,0.72,3.741
26.1,0.059,8,2229,0.36,3.715
24.7,0.122,17,2115,0.80,22.949
24.3,0.103,7,2076,0.34,88.83
23.8,0.118,50,2078,2.41,156.825
24.3,0.106,13,2078,0.63,225.178
23.9,0.149,175,2207,7.93,268.483
23.9,0.134,200,2229,8.97,269.265
23.8,0.129,201,2228,9.02,269.147
24.0,0.133,186,2231,8.34,269.203
23.9,0.13,192,2228,8.62,269.174
23.9,0.121,194,2230,8.70,269.19
24.0,0.142,192,2229,8.61,269.226
23.6,0.112,217,2228,9.74,269.111
23.6,0.123,220,2229,9.87,269.204
23.6,0.124,226,2229,10.14,269.345
23.7,0.127,212,2231,9.50,269.261
23.6,0.139,221,2228,9.92,269.309
24.0,0.125,191,2229,8.57,269.307
23.8,0.114,210,2230,9.42,269.197
23.6,0.15,219,2228,9.83,269.085
23.5,0.129,228,2230,10.22,269.184
24.0,0.119,189,2229,8.48,269.22
23.9,0.13,196,2229,8.79,269.023
23.5,0.129,229,2229,10.27,269.432
23.9,0.128,195,2229,8.75,269.16
23.4,0.125,237,2229,10.63,269.268
23.7,0.116,210,2229,9.42,269.245
23.8,0.133,205,2229,9.20,269.12
23.9,0.145,200,2230,8.97,269.242
23.8,0.123,208,2229,9.33,269.09
23.7,0.124,217,2230,9.73,269.206
20.0,0.185,526,2227,23.62,269.334
18.9,0.176,626,2230,28.07,269.227
16.6,0.195,818,2231,36.67,272.147
18.8,0.195,628,2226,28.21,246.58
18.8,0.174,634,2231,28.42,269.408
18.6,0.201,643,2228,28.86,269.898
18.8,0.201,628,2230,28.16,269.154
18.4,0.189,663,2230,29.73,269.51
18.5,0.219,651,2228,29.22,269.341
18.8,0.166,633,2228,28.41,269.287
18.8,0.197,634,2229,28.44,269.51
18.8,0.159,634,2231,28.42,269.227
19.1,0.214,608,2228,27.29,269.223
18.9,0.191,623,2229,27.95,269.144
19.3,0.217,586,2231,26.27,269.328
18.4,0.171,664,2227,29.82,269.199
18.5,0.172,657,2232,29.44,269.207
29.0,0.041,349,2814,12.40,84.8
26.0,0.045,21,2229,0.94,5.694
26.0,0.03,19,2229,0.85,5.726
25.9,0.032,26,2229,1.17,5.695
25.9,0.03,25,2229,1.12,5.726
26.0,0.029,22,2230,0.99,5.681
26.0,0.048,21,2228,0.94,5.694
26.0,0.039,22,2230,0.99,5.761
25.9,0.041,24,2229,1.08,5.73
25.9,0.031,25,2229,1.12,5.759
25.9,0.066,23,2228,1.03,5.692
26.1,0.031,14,2230,0.63,5.672
26.0,0.035,21,2229,0.94,5.708
25.9,0.034,25,2229,1.12,5.76
25.9,0.035,29,2229,1.30,5.76
25.4,0.043,73,2230,3.27,6.788
25.9,0.046,29,2229,1.30,5.675
21.1,0.216,17,1813,0.94,62.842
19.5,0.185,232,1889,12.28,303.643
19.7,0.23,553,2228,24.82,346.095
19.1,0.173,602,2229,27.01,345.73
19.3,0.196,588,2229,26.38,345.954
15.6,0.164,898,2228,40.31,346.045
15.8,0.172,888,2231,39.80,346.109
14.7,0.181,975,2228,43.76,346.07
15.9,0.194,877,2229,39.34,346.142
14.9,0.137,962,2230,43.14,346.362
15.4,0.206,915,2228,41.07,346.057
14.9,0.152,963,2229,43.20,345.984
14.5,0.175,992,2229,44.50,346.088
19.4,0.195,578,2230,25.92,345.804
24.2,0.189,171,2229,7.67,345.764
24.1,0.16,182,2230,8.16,345.845
24.2,0.168,170,2229,7.63,345.777
24.3,0.178,164,2228,7.36,345.681
24.2,0.17,171,2229,7.67,345.743
24.1,0.163,182,2230,8.16,345.669
24.1,0.173,178,2229,7.99,345.609
24.2,0.154,168,2229,7.54,345.627
24.0,0.176,184,2228,8.26,345.817
24.1,0.212,185,2231,8.29,345.748
24.2,0.168,169,2228,7.59,345.658
24.2,0.189,170,2230,7.62,345.643
24.2,0.173,170,2229,7.63,345.691
24.3,0.176,165,2228,7.41,345.864
24.1,0.185,179,2230,8.03,345.847
24.2,0.176,169,2227,7.59,345.741
25.6,0.108,151,2327,6.49,341.658
33.7,0.033,25,2890,0.87,149.274
25.9,0.053,25,2229,1.12,5.73
26.1,0.047,11,2229,0.49,5.74
26.0,0.031,20,2230,0.90,5.691
26.0,0.031,16,2229,0.72,6.321
25.9,0.036,27,2229,1.21,5.729
26.0,0.041,22,2229,0.99,5.697
25.2,0.047,87,2229,3.90,7.213
21.3,0.227,20,1830,1.09,57.957
19.2,0.186,236,1870,12.62,298.9
19.4,0.201,581,2229,26.07,346.306
19.3,0.183,588,2230,26.37,345.874
19.7,0.201,557,2228,25.00,346.094
19.4,0.187,576,2229,25.84,346.355
19.3,0.18,588,2230,26.37,346.15
18.9,0.182,621,2229,27.86,346.152
19.3,0.179,587,2230,26.32,346.12
31.2,0.057,337,2991,11.27,112.162
26.0,0.041,19,2229,0.85,3.772
26.1,0.046,8,2229,0.36,3.757
26.2,0.055,5,2229,0.22,3.735
26.1,0.048,13,2229,0.58,3.726
26.0,0.036,14,2229,0.63,3.764
26.1,0.036,11,2229,0.49,3.727
26.1,0.05,9,2230,0.40,3.735
26.0,0.049,14,2229,0.63,3.726
26.0,0.046,15,2229,0.67,3.687
26.1,0.052,8,2229,0.36,3.75
26.1,0.051,8,2229,0.36,3.747
26.1,0.052,9,2229,0.40,5.717
20.6,0.219,22,1777,1.24,74.261
19.0,0.184,303,1920,15.78,310.123
19.0,0.199,612,2229,27.46,346.295
19.5,0.203,571,2229,25.62,346.026
19.1,0.221,605,2230,27.13,345.905
19.4,0.188,579,2227,26.00,345.982
19.3,0.207,585,2229,26.24,345.929
19.3,0.206,591,2230,26.50,346.156
19.4,0.189,577,2229,25.89,346.017
